PMID	DOI	Title	Year	PublicationTypes
2076973	NA	Interaction of cisplatin and noise on the peripheral auditory system.	1990	Journal Article
2240186	NA	Hearing loss--risk factor for cisplatin ototoxicity? Observations.	1990	Journal Article
2146108	NA	Teicoplanin. A review of its antibacterial activity, pharmacokinetic properties and therapeutic potential.	1990	Journal Article
2346126	NA	Dacarbazine-vindesine-cisplatin in disseminated malignant melanoma. A phase I-II trial.	1990	Journal Article
2122376	NA	Physiologic status of regenerated hair cells in the avian inner ear following aminoglycoside ototoxicity.	1990	Journal Article
2372498	NA	Ototoxicity of cisplatinum in children and adolescents.	1990	Journal Article
2380120	NA	Mechanisms of salicylate ototoxicity.	1990	Journal Article
2380130	NA	Organic acids do not alter the cochlear effects of ethacrynic acid.	1990	Journal Article
2196530	NA	Aminoglycoside therapy. Current use and future prospects.	1990	Journal Article
2358836	NA	Ototoxicity of preradiation cisplatin for children with central nervous system tumors.	1990	Journal Article
2362532	NA	High-dose cisplatin treatment: hearing loss and plasma concentrations.	1990	Journal Article
2390421	NA	Screening for aminoglycoside auditory toxicity in the old.	1990	Journal Article
1696831	NA	'JEB'--a carboplatin based regimen for malignant germ cell tumours in children.	1990	Journal Article
2200133	NA	Clinical pharmacology of carboplatin.	1990	Journal Article
2392800	NA	Trimethyltin effects on auditory function and cochlear morphology.	1990	Journal Article
2392802	NA	Auditory dysfunction and cochlear vascular injury following trimethyltin exposure in the guinea pig.	1990	Journal Article
2228803	NA	The ototoxic mechanism of cisplatin.	1990	Journal Article
2192812	NA	Carboplatin is ototoxic.	1990	Journal Article
2303582	NA	Clinical pharmacology of predisintegrated ibuprofen 800 mg tablets: an endoscopic and pharmacokinetic study.	1990	Clinical Trial
2296254	NA	Effect of intravenous injection of biperiden and clonazepam in dystonia.	1990	Journal Article
2278526	NA	A simple, effective method of treating vertigo patients.	1990	Clinical Trial
2340845	NA	Clinical pharmacokinetics of intravenous and oral 9-amino-1,2,3,4-tetrahydroacridine, tacrine.	1990	Journal Article
1974687	NA	Multicenter 1-year trial on formoterol, a new long-acting beta 2-agonist, in chronic obstructive airway disease.	1990	Clinical Trial
2112362	NA	Clinical perspectives on ototoxic drugs.	1990	Journal Article
1688614	NA	Lack of late toxicity in patients treated with cisplatin-containing combination chemotherapy for metastatic testicular cancer.	1990	Comparative Study
2112361	NA	Outer hair cells as potential targets of inflammatory mediators.	1990	Journal Article
2324783	NA	Rapid method for estimating the risk of acutely controversial side effects of prescription drugs.	1990	Journal Article
2407023	NA	Treatment of recurrent urinary tract infection with norfloxacin versus trimethoprim-sulfamethoxazole.	1990	Clinical Trial
2351912	NA	The efficacy of lisuride in the treatment of hyperprolactinemic amenorrhea.	1990	Journal Article
2178599	NA	Therapeutic effects of antimotion sickness medications on the secondary symptoms of motion sickness.	1990	Clinical Trial
2403654	NA	A comparison of ceftriaxone and cefuroxime for the treatment of bacterial meningitis in children.	1990	Clinical Trial
2386358	NA	Continuous interscalene brachial plexus block during and after shoulder surgery.	1990	Clinical Trial
2161175	NA	Spinal cord toxicity complicating treatment with cisplatin and etoposide.	1990	Case Reports
2352635	NA	Side effects after lumbar iohexol myelography. Relation to radiological diagnosis, sex and age.	1990	Journal Article
2103393	NA	Experience with MTBE as a solvent for common bile duct stones in patients with T-tube in situ.	1990	Case Reports
2109631	NA	Long-term toxicity of chemotherapy for testicular cancer--the cost of cure.	1990	Journal Article
2742472	NA	Management of reflex sweating in spinal cord injured patients.	1989	Case Reports
2692189	NA	Effect of single-dose albendazole and single-dose mebendazole on Necator americanus.	1989	Clinical Trial
2611090	NA	Concentration-response relationships for salicylate-induced ototoxicity in normal volunteers.	1989	Clinical Trial
2589763	NA	Audiologic threshold monitoring of patients receiving ototoxic drugs. Preliminary report.	1989	Journal Article
2776168	NA	Diflunisal and ibuprofen: effects on gastric and duodenal mucosa in patients with osteoarthritis.	1989	Clinical Trial
2689137	NA	Netilmicin. A review of its antibacterial activity, pharmacokinetic properties and therapeutic use.	1989	Journal Article
