PubChem_CID	name	iupac_name	inchi_key	References	ototoxicity_sum	abs_sum	score	class
2353	Berberine	16,17-dimethoxy-5,7-dioxa-13-azoniapentacyclo[11.8.0.02,10.04,8.015,20]henicosa-1(13),2,4(8),9,14,16,18,20-octaene	YBHILYKTIRIUTE-UHFFFAOYSA-N	37844727, 38068993	-2	2	-0.0168435236651507	otoprotective
2366	Betahistine	N-methyl-2-pyridin-2-ylethanamine	UUQMNUMQCIQDMZ-UHFFFAOYSA-N	39008429, 35667696, 24166742, 3780284	0	4	0.0	undetermined
2369	Betaxolol	1-[4-[2-(cyclopropylmethoxy)ethyl]phenoxy]-3-(propan-2-ylamino)propan-2-ol	NWIUTZDMDHAVTP-UHFFFAOYSA-N	24961091, 2901266	2	2	0.0168435236651507	ototoxic
2378	Bifonazole	1-[phenyl-(4-phenylphenyl)methyl]imidazole	OCAPBUJLXMYKEJ-UHFFFAOYSA-N	22991276	1	1	0.0084217618325753	ototoxic
2381	Biperiden	1-(2-bicyclo[2.2.1]hept-5-enyl)-1-phenyl-3-piperidin-1-ylpropan-1-ol	YSXKPIUOCJLQIE-UHFFFAOYSA-N	10653212, 2296254	2	2	0.0168435236651507	ototoxic
2435	Brimonidine	5-bromo-N-(4,5-dihydro-1H-imidazol-2-yl)quinoxalin-6-amine	XYLJNLCSTIOKRM-UHFFFAOYSA-N	28889125, 25214761, 24961091, 23069749	-4	4	-0.0336870473303015	otoprotective
2449	Seratrodast	7-phenyl-7-(2,4,5-trimethyl-3,6-dioxocyclohexa-1,4-dien-1-yl)heptanoic acid	ZBVKEHDGYSLCCC-UHFFFAOYSA-N	41011663	-1	1	-0.0084217618325753	otoprotective
2471	Bumetanide	3-(butylamino)-4-phenoxy-5-sulfamoylbenzoic acid	MAEIEVLCKWDQJH-UHFFFAOYSA-N	39312737, 40098168, 39291568, 35496913, 30773607, 30981948, 27088517, 26921222, 31015607, 25783988, 23109177, 18057986, 9395836, 1930985, 4088324, 6524339, 7093563, 7042998, 6763204, 7118731, 7338574, 7338573, 7338572, 716856	18	24	0.151591712986357	ototoxic
2474	Bupivacaine [usan:inn:ban]	1-butyl-N-(2,6-dimethylphenyl)piperidine-2-carboxamide	LEBVLXFERQHONN-UHFFFAOYSA-N	38190339, 26006222, 26119258, 23026166, 16717339, 15684261, 9552778, 8982897, 7880714, 2386358, 2520936, 474122, 484349, 1108581	14	14	0.117904665656055	ototoxic
2477	Buspirone	8-[4-(4-pyrimidin-2-ylpiperazin-1-yl)butyl]-8-azaspiro[4.5]decane-7,9-dione	QWCRAEMEVRGPNT-UHFFFAOYSA-N	22800922	1	1	0.0084217618325753	ototoxic
